_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,browser,feedback,feeling_danger,feeling_none,feeling_warning,imageorder,income,indebt,naam,nobuyreason,pageorder,product,regret,s_danger,s_none,s_warning,scenario_danger,scenario_none,scenario_warning,scenarioorder,spam,time_danger,time_none,time_pre,time_warning,warnings
1579177886,2/7/2018 11:53:15,3344052437,2/7/2018 11:51:16,False,elite,0.8855,43670571,GBR,0,0,0,0,,ontevreden,schuldig,opgelucht,"2,1,3",2,eens,0,"irresponsible
nointerest","4,3,2",clothing,eens,cancel4,cancel2,submit3,2.0,4.0,3.0,"2,1,0",0,22.0,17.0,25.0,24.0,ja
1579177886,2/7/2018 12:55:44,3344183239,2/7/2018 12:53:07,False,elite,0.7932,43880998,GBR,0,0,0,0,,verdrietig,opgewonden,verdrietig,"1,3,2",0,eens,0,irresponsible,"2,3,4",electronics,eens,cancel4,submit2,cancel3,4.0,2.0,3.0,"0,1,2",0,10.0,19.0,79.0,16.0,ja
1579177886,2/7/2018 13:25:33,3344237389,2/7/2018 13:24:31,False,prodege,0.7318,36524052,CAN,0,0,0,0,,opgelucht,opgelucht,opgelucht,"2,1,3",4,eens,0,nointerest,"2,4,3",electronics,eens,cancel4,cancel2,cancel3,3.0,2.0,4.0,"0,2,1",0,12.0,5.0,15.0,9.0,ja
1579177886,2/7/2018 13:46:02,3344273094,2/7/2018 13:39:29,False,bitcoinget,0.6256,44091788,USA,0,0,0,0,,blij,"blij
opgewonden",tevreden,"3,1,2",2,eens,0,irresponsible,"2,3,4",clothing,oneens,cancel4,cancel2,submit3,4.0,2.0,3.0,"0,1,2",0,14.0,12.0,304.0,18.0,nee
1579177886,2/7/2018 14:01:29,3344302979,2/7/2018 13:59:56,False,neodev,0.7485,44218005,USA,0,0,0,0,no,tevreden,tevreden,tevreden,"2,1,3",2,eens,0,nointerest,"4,3,2",electronics,eens,cancel4,cancel2,cancel3,2.0,4.0,3.0,"2,1,0",0,14.0,7.0,27.0,12.0,ja
1579177886,2/7/2018 14:21:47,3344346395,2/7/2018 14:14:43,False,gifthunterclub,0.7048,43703523,USA,0,0,0,0,,"boos
ontevreden","tevreden
blij
opgewonden","blij
opgewonden
opgelucht
schuldig","1,2,3",2,eens,0,nointerest,"2,4,3",electronics,eens,cancel4,submit2,submit3,3.0,2.0,4.0,"0,2,1",0,20.0,13.0,343.0,16.0,ja
1579177886,2/7/2018 14:23:45,3344350848,2/7/2018 14:21:34,False,elite,0.6729,44109895,USA,0,0,0,0,,verdrietig,blij,"tevreden
blij","2,1,3",1,eens,0,irresponsible,"4,2,3",clothing,eens,cancel4,submit2,submit3,3.0,4.0,2.0,"1,2,0",0,31.0,10.0,32.0,21.0,nee
1579177886,2/7/2018 14:29:19,3344365900,2/7/2018 14:27:24,False,earnably,0.675,41499434,GBR,0,0,0,0,Good idea to warn about bank balances but sometimes we just want something!,"opgelucht
ontevreden
beschaamd","blij
opgewonden
schuldig","tevreden
opgelucht
schuldig","2,1,3",2,oneens,0,irresponsible,"4,3,2",electronics,eens,cancel4,submit2,submit3,2.0,4.0,3.0,"2,1,0",0,12.0,15.0,16.0,22.0,ja
1579177886,2/7/2018 14:31:05,3344370253,2/7/2018 14:27:48,False,clixsense,0.6533,36313199,CAN,0,0,0,0,I would like to be able to scan the purchase and know if I could afford it before being at the cashier when that would be odd to cancel the purchase on the spot,"ontevreden
bezorgd",ontevreden,"ontevreden
bezorgd","1,2,3",4,weetniet,0,irresponsible,"2,4,3",clothing,eens,cancel4,cancel2,cancel3,3.0,2.0,4.0,"0,2,1",0,35.0,33.0,29.0,20.0,ja
1579177886,2/7/2018 14:37:28,3344384144,2/7/2018 14:35:56,False,instagc,0.7659,35903629,GBR,0,0,0,0,,opgelucht,opgewonden,opgelucht,"2,3,1",0,eens,0,irresponsible,"4,3,2",electronics,eens,cancel4,submit2,cancel3,2.0,4.0,3.0,"2,1,0",0,22.0,12.0,15.0,25.0,ja
